"tweetid","originaltext","text","sentiment","score","sentimentnegscore","sentimentneuscore","sentimentposscore","src","type","entity"
1322576129404915700,"I have a bunch of blocked numbers that keep disturbing me. They start calling at like 4:30 or 5 pm. Most are Telkom… https://t.co/HJBqvmfPvd","I have a bunch of blocked numbers that keep disturbing me. They start calling at like 4:30 or 5 pm. Most are Telkom… https://t.co/HJBqvmfPvd","NEGATIVE",0.998,0.7316,0.2671,0.0013,"Twitter Web App","DATE","5 pm"
1322576899021877200,"I have a bunch of blocked numbers that keep disturbing me. They start calling at like 4:30 or 5 pm. Most are Telkom… https://t.co/jiQmOulb0X","I have a bunch of blocked numbers that keep disturbing me. They start calling at like 4:30 or 5 pm. Most are Telkom… https://t.co/jiQmOulb0X","NEGATIVE",0.9981,0.599,0.3991,0.0019,"Twitter Web App","DATE","5 pm"
1322462264922919000,"'@MzansiInsider Telkom was a scam,I loaded within 5 secs n already used😑😑","'@MzansiInsider Telkom was a scam,I loaded within 5 secs n already used😑😑","NEGATIVE",0.9914,0.9912,0.0086,0.0002,"Twitter for Android","QUANTITY","5 secs"
1322411634200060000,"'@Nthabis97131958 @l_mohuba @Ori_Debig_Beats Yeah but in my experience using both lines, vocadom is 5 times better than telkom","'@Nthabis97131958 @l_mohuba @Ori_Debig_Beats Yeah but in my experience using both lines, vocadom is 5 times better than telkom","NEUTRAL",0.997,0.0488,0.5013,0.4499,"Twitter for Android","QUANTITY","5 times"
1322460996477296600,"You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 0050… https://t.co/qW569Pfs9k","You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 0050… https://t.co/qW569Pfs9k","NEUTRAL",0.9889,0.0006,0.8978,0.1016,"Twitter for iPhone","OTHER","5619822375528"
1322461890367410200,"RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","NEUTRAL",0.9772,0.0007,0.8939,0.1054,"Twitter for Android","OTHER","5619822375528"
1322461910562971600,"RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","NEUTRAL",0.9772,0.0007,0.8939,0.1054,"Twitter for Android","OTHER","5619822375528"
1322463222876852200,"RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","NEUTRAL",0.9772,0.0007,0.8939,0.1054,"Twitter for Android","OTHER","5619822375528"
1322464236325478400,"RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","NEUTRAL",0.9772,0.0007,0.8939,0.1054,"Twitter for Android","OTHER","5619822375528"
1322592047858155500,"Vodacom selected Nokia to build its 5G network. We will see if MTN and Telkom also shun Huawei.","Vodacom selected Nokia to build its 5G network. We will see if MTN and Telkom also shun Huawei.","NEUTRAL",0.5149,0.0043,0.9382,0.0575,"Twitter for Android","QUANTITY","5G"
1322159396663758800,"RT @ch1eng: Telkom's 5gb night bundle","RT @ch1eng: Telkom's 5gb night bundle","NEUTRAL",0.9681,0.0058,0.987,0.0072,"Twitter for Android","QUANTITY","5gb"
1322254387176214500,"'@MTNza does mtn have a similar tipe of deal telkom has prepaid R99 10gig its 5gig night 5gig day lte","'@MTNza does mtn have a similar tipe of deal telkom has prepaid R99 10gig its 5gig night 5gig day lte","NEUTRAL",0.9532,0.0068,0.9839,0.0093,"Twitter for Android","QUANTITY","5gig"
1322175689508966400,"'@ThabangMantutle During that period we won 7 trophies your fa cup, mtn 8 and telkom cup mos and Stuart was winning the league also there","'@ThabangMantutle During that period we won 7 trophies your fa cup, mtn 8 and telkom cup mos and Stuart was winning the league also there","NEUTRAL",0.9927,0.0127,0.9381,0.0492,"Twitter for Android","QUANTITY","7 trophies"
1322444874268971000,"'@betting_guy_za I'm on @TelkomZA 1TB deal, I'm consistently getting between 40 - 80 Mbps 🙂","'@betting_guy_za I'm on @TelkomZA 1TB deal, I'm consistently getting between 40 - 80 Mbps 🙂","NEUTRAL",0.9044,0.0012,0.8941,0.1047,"Twitter Web App","QUANTITY","80 Mbps"
1322131134205972500,"For only R199 per month, you have less that a week to get your hands on Telkom's 80GB LTE October deal! We really d… https://t.co/PuvMgv0CEu","For only R199 per month, you have less that a week to get your hands on Telkom's 80GB LTE October deal! We really d… https://t.co/PuvMgv0CEu","POSITIVE",0.9807,0.0149,0.4064,0.5787,"Zoho Social","QUANTITY","80GB"
1322460996477296600,"You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 0050… https://t.co/qW569Pfs9k","You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 0050… https://t.co/qW569Pfs9k","NEUTRAL",0.977,0.0006,0.8978,0.1016,"Twitter for iPhone","OTHER","868922150144"
1322461890367410200,"RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","NEUTRAL",0.9829,0.0007,0.8939,0.1054,"Twitter for Android","OTHER","868922150144"
1322461910562971600,"RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","NEUTRAL",0.9829,0.0007,0.8939,0.1054,"Twitter for Android","OTHER","868922150144"
1322463222876852200,"RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","NEUTRAL",0.9829,0.0007,0.8939,0.1054,"Twitter for Android","OTHER","868922150144"
1322464236325478400,"RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","RT @MzansiInsider: You asked for it and we delivered! 

Cell C: 5619822375528
MTN: 4621780243557934
Vodacom: 868922150144
Telkom: 005067499…","NEUTRAL",0.9829,0.0007,0.8939,0.1054,"Twitter for Android","OTHER","868922150144"
1322128691086958600,"Recharge your telkom,airtel and safaricom now using the PAYBILL 990960 and the account number  as your mobile numbe… https://t.co/IvRp4yp6iy","Recharge your telkom,airtel and safaricom now using the PAYBILL 990960 and the account number  as your mobile numbe… https://t.co/IvRp4yp6iy","NEUTRAL",0.313,0.0002,0.9951,0.0047,"Twitter for Android","OTHER","990960"
1322130201078280200,"RT @__Wesh_: Buy airtime using M-pesa with ease using playbill number  990960 for all your  Safaricom Telkom and Airtel lines

Go to:

✅Lip…","RT @__Wesh_: Buy airtime using M-pesa with ease using playbill number  990960 for all your  Safaricom Telkom and Airtel lines

Go to:

✅Lip…","NEUTRAL",0.8248,0.0006,0.8614,0.1379,"Twitter for Android","OTHER","990960"
1322131832603877400,"Buy credo using M-pesa with ease using playbill number  990960 for your Safaricom Telkom and Airtel lines
Go to:
☑️… https://t.co/W3zoaFJuIJ","Buy credo using M-pesa with ease using playbill number  990960 for your Safaricom Telkom and Airtel lines
Go to:
☑️… https://t.co/W3zoaFJuIJ","NEUTRAL",0.9038,0.0001,0.9848,0.0151,"Twitter for Android","OTHER","990960"
1322132296129011700,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322132722282881000,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322135069532840000,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322135126386659300,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322135164651217000,"Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to… https://t.co/n8DXfCdNNT","Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to… https://t.co/n8DXfCdNNT","NEUTRAL",0.9672,0.0006,0.5116,0.4878,"Twitter for Android","OTHER","990960"
1322135178345648000,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322135232452198400,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322135241897746400,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322135378330005500,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322135502208831500,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322135619255046100,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter Web App","OTHER","990960"
1322135715317272600,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322135811161292800,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322136255094837200,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322136324804137000,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for iPhone","OTHER","990960"
1322136686336315400,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322136836865708000,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322136889978224600,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322136978935206000,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322136979140677600,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322137029367443500,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322137134493507600,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322137291003961300,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322137471967240200,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322137587054747600,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322137916978667500,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322137933852348400,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322138315924115500,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter Web App","COMMERCIAL_ITEM","990960"
1322138611949670400,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322138699816194000,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322139973596946400,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322140216652664800,"Buy credo using M-pesa with ease using playbill number  990960 for your Safaricom Telkom and Airtel lines
Go to:
☑️… https://t.co/Zh7kkVvrFX","Buy credo using M-pesa with ease using playbill number  990960 for your Safaricom Telkom and Airtel lines
Go to:
☑️… https://t.co/Zh7kkVvrFX","NEUTRAL",0.8813,0.0001,0.9856,0.0143,"Twitter for Android","OTHER","990960"
1322140383443406800,"RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","RT @kwamboqa: Worry less pals.Fom ya kubuy credo na mpesa ndo hii.

Using paybill 990960,you can now buy or top up credit from your mpesa t…","NEUTRAL",0.8734,0.043,0.8731,0.0839,"Twitter for Android","COMMERCIAL_ITEM","990960"
1322140523331788800,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
1322143332966027300,"RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","RT @DeeFrozy: Normalise using Mpesa when Topping Up your Airtime.
It is fast, easy and reliable. Use the paybill number 990960 to top up yo…","POSITIVE",0.9462,0.0008,0.2884,0.7108,"Twitter for Android","OTHER","990960"
